County FIPS 1990,,County FIPS 2000,County Name,County Population in 2000,Commuting Zone ID,Commuting Zone Name,Commuting Zone Population in 2000,State,Fraction Black,Poverty Rate,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Aff_by_poor,Fraction with Commute < 15 Mins,Household Income per Capita,Gini,Top 1% Income Share,Gini Bottom 99%,Fraction Middle Class (between p25 and p75),Local Tax Rate,Local Tax Rate Per Capita,Local Govt Expenditures Per Capita,State EITC Exposure,Tax Progressivity,School Expenditure per Student,Student Teacher Ratio,Test Score Percentile (Income adjusted),High School Dropout Rate (Income adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation,Share Working in Manufacturing,Teenage (14-16) Labor Force Participation,Migration Inflow Rate,Migration Outlflow Rate,Fraction Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Total Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Median House Price for Below-Median Income Families,Median House Price for Above-Median Income Families,Median House Rent for Below-Median Income Families,Median House Rent for Above-Median Income Families,Log Population Density,Location Affordability of Very Low-Income Individual,Location Affordability of Median-Income Family,Unemployment Rate ,Fraction Black (Standardized),Poverty Rate (Standardized),Racial Segregation (Standardized),Income Segregation (Standardized),Segregation of Poverty (<p25) (Standardized),Segregation of Affluence (>p75) (Standardized),Fraction with Commute < 15 Mins (Standardized),Household Income per Capita (Standardized),Gini (Standardized),Top 1% Income Share (Standardized),Gini Bottom 99% (Standardized),Fraction Middle Class (between p25 and p75) (Standardized),Local Tax Rate (Standardized),Local Tax Rate Per Capita (Standardized),Local Govt Expenditures Per Capita (Standardized),State EITC Exposure (Standardized),Tax Progressivity (Standardized),School Expenditure per Student (Standardized),Student Teacher Ratio (Standardized),Test Score Percentile (Income adjusted) (Standardized),High School Dropout Rate (Income adjusted) (Standardized),Number of Colleges per Capita (Standardized),College Tuition (Standardized),College Graduation Rate (Income Adjusted) (Standardized),Labor Force Participation (Standardized),Share Working in Manufacturing (Standardized),Teenage (14-16) Labor Force Participation (Standardized),Migration Inflow Rate (Standardized),Migration Outlflow Rate (Standardized),Fraction Foreign Born (Standardized),Social Capital Index (Standardized),Fraction Religious (Standardized),Violent Crime Rate (Standardized),Total Crime Rate (Standardized),Fraction of Children with Single Mothers (Standardized),Fraction of Adults Divorced (Standardized),Fraction of Adults Married (Standardized),Median House Price for Below-Median Income Families (Standardized),Median House Price for Above-Median Income Families (Standardized),Median House Rent for Below-Median Income Families (Standardized),Median House Rent for Above-Median Income Families (Standardized),Log Population Density (Standardized),Location Affordability of Very Low-Income Individual (Standardized),Location Affordability of Median Household (Standardized),Unemployment Rate (Standardized)
1001,1001,1001,Autauga,43671,11101,Montgomery,367927,Alabama,0.17,0.109,0.128,0.036,0.043,0.037,0.86,0.233,34379.54,0.381,0.001,0.38,0.52,0.011,0.308,1.06,0,0,4.46,19.716,-7.308,0.004,0,,,0.651,0.165,0.361,0.057,0.051,0.012,-0.898,0.561,0.002,0.009,0.192,0.099,0.61,93022.313,100826.166,546.548,575.595,4.294,142.125,57.657,0.037,-2.773,-1.423,-0.943,-2.021,-1.852,-1.888,-1,0.142,-1.793,-1.183,-1.795,1.868,-0.486,-0.395,-0.733,0,0,0.059,1.957,2.204,-0.221,-2.354,,,1.317,1.453,0.994,1.363,1.451,-0.09,-0.23,0.869,0.104,1.28,-1.903,-1.47,1.75,0.496,-0.116,0.762,0.38,-0.852,0.648,0.593,-0.699
1003,1003,1003,Baldwin,140415,11001,Mobile,599405,Alabama,0.102,0.101,0.101,0.033,0.022,0.041,1.906,0.296,39219.6,0.491,0.001,0.49,0.499,0.012,0.366,2.21,0,0,4.597,16.851,-13.629,0.003,0.014,2055.67,-0.247,0.598,0.125,0.448,0.045,0.024,0.021,-0.362,0.472,0.002,0.007,0.187,0.11,0.622,115393.546,129377.553,525.215,580.346,4.477,147.769,55.445,0.039,-2.244,-1.888,-1.946,-1.331,-2.006,-0.797,0.636,0.966,-0.354,-0.007,-0.356,0.839,-0.785,-0.371,0.486,0,0,0.136,-0.997,-0.084,-0.109,0.247,-0.913,-1.906,0.319,-0.751,2.756,1.8,0.527,0.009,0.989,-0.573,-0.492,-0.081,-1.451,0.354,1.368,1.267,0.782,0.804,0.643,-0.784,1.056,-1.124,-1.659
1005,1005,1005,Barbour,29038,10301,Eufaula,61458,Alabama,0.46,0.268,0.04,0.022,0.022,0.021,0.96,0.394,24274.2,0.492,0.001,0.491,0.408,0.012,0.303,1.57,0,0,4.734,16.657,-15.955,-0.007,0,,,0.48,0.314,0.248,0.017,0.023,0.015,-1.499,0.412,0.002,0.008,0.338,0.1,0.488,70780.784,73442.269,321.646,339.4,3.491,120.304,68.229,0.068,-0.494,0.026,0.108,0.17,0.285,0.174,0.166,-0.192,-0.164,-0.281,-0.216,1.135,-0.865,-0.359,-0.441,0,0,-1.247,0.893,-0.333,-0.894,-1.566,,,-0.501,1.706,0.064,0.14,0.203,0.064,-0.114,-0.055,0.257,0.71,-0.571,0.925,0.296,0.354,0.28,0.259,0.22,0.26,-0.176,-0.879,0.426
1007,1007,1007,Bibb,20826,10801,Tuscaloosa,261112,Alabama,0.22,0.206,0.104,0.017,0.028,0.002,0.073,0.247,24927.52,0.418,0.001,0.417,0.461,0.008,0.185,1.338,0,0,4.154,18.958,-14.839,-0.006,0,,,0.529,0.237,0.256,0.036,0.029,0.004,-0.93,0.464,0.001,0.005,0.198,0.1,0.561,74345.093,74821.773,377.86,370.322,3.509,132.32,55.821,0.062,-1.957,-0.18,-1.372,-2.178,-1.951,-2.196,-2.162,-0.827,-1.193,-1.443,-1.19,0.865,-0.742,-0.465,-0.831,0,0,-1.032,2.187,0.707,-0.496,-2.949,,,-1.146,1.582,-0.355,0.991,0.854,-0.242,0.334,-0.154,-0.873,-1.329,-1.929,0.841,1.443,-0.485,-0.77,-0.751,-1.199,-0.923,0.464,-2.075,1.13
1009,1009,1009,Blount,51024,10700,Birmingham,1038182,Alabama,0.012,0.117,0.08,0.013,0.015,0.013,0.875,0.214,30229.86,0.334,0.001,0.333,0.597,0.007,0.174,0.987,0,0,3.999,19.324,-10.218,0.011,0,,,0.606,0.195,0.286,0.039,0.034,0.031,-1.304,0.508,0,0.002,0.122,0.086,0.663,84020.263,87418.399,402.687,416.797,4.37,135.006,57.571,0.033,-3.106,-0.387,-2.608,-2.968,-2.803,-2.818,-0.144,-1.289,-2.275,-1.678,-2.277,3.173,-1.689,-1.406,-1.062,0,0,-1.556,2.06,0.614,0.63,-1.205,,,-0.519,2.206,-1.873,0.342,0.026,0.196,-1.432,-0.968,-1.447,-2.018,-2.069,-2.288,2.034,-0.262,-1.187,-1.006,-1.787,-1.558,-0.273,0.665,-0.609
1011,1011,1011,Bullock,11714,9800,Auburn,150911,Alabama,0.724,0.335,0.047,0.021,0.016,0.011,0.676,0.423,18084.56,0.464,0.001,0.462,0.346,0.008,0.15,1.858,0,0,4.801,19.718,-18.84,-0.016,0,,,0.416,0.232,0.205,0.009,0.019,0.031,-1.424,0.21,0.001,0.003,0.517,0.108,0.362,56728.943,57634.343,325.158,326.283,2.931,126.344,67.962,0.091,4.341,2.408,-1.104,-2.737,-4.272,-1.875,1.023,-1.484,-0.178,0.787,-0.183,-2.381,-0.882,-0.598,-1.532,0,0,-0.332,2.887,-1.139,0.298,-1.913,,,-4.883,2.282,-2.458,-2.34,-1.668,0.119,1.161,-1.358,-0.776,-0.964,3.622,2.612,-1.579,-1.249,-1.237,-1.453,-1.443,-2.056,-0.153,2.646,6.009
1013,1013,1013,Butler,21399,11101,Montgomery,367927,Alabama,0.405,0.246,0.093,0.024,0.026,0.015,0.599,0.364,30493.45,0.5,0.001,0.499,0.377,0.012,0.258,1.299,0,0,4.646,17.337,-25.708,0.014,0,,,0.545,0.229,0.2,0.014,0.018,0.004,-0.905,0.5,0.001,0.005,0.33,0.097,0.509,55687.279,59388.844,350.27,360.669,3.316,123.004,70.983,0.069,0.049,2.239,-1.37,-2.494,-2.573,-2.618,1.961,-0.493,-0.407,-0.126,-0.408,-1.373,-0.406,-0.554,-0.427,0,0,0.318,-0.467,-0.966,0.42,-2.354,,,-1.761,3.381,-2.74,-2.087,-2.817,-0.267,-0.242,0.044,-0.207,-0.603,0.455,-1.719,-0.142,-0.952,-1.302,-1.82,-1.934,-1.921,-0.82,5.38,3.309
1015,1015,1015,Calhoun,112249,9600,LaGrange,457299,Alabama,0.185,0.161,0.208,0.054,0.061,0.046,0.761,0.314,31739.22,0.432,0.001,0.431,0.537,0.012,0.299,1.723,0,0,4.285,19.376,-7.026,0.004,0.018,2506.35,-0.034,0.578,0.217,0.327,0.021,0.022,0.017,-1.381,0.643,0.003,0.009,0.242,0.114,0.563,69669.022,78775.182,409.277,437.611,5.218,123.746,59.987,0.05,-0.183,0.611,1.073,0.691,0.926,0.504,0.44,-0.154,-0.086,-0.073,-0.086,0.39,-0.767,-0.589,-0.17,0,0,-1.328,1.273,0.413,-0.699,0.242,-0.087,-0.208,-1.239,-0.437,-0.199,-1.362,-1.072,-0.103,0.162,1.655,0.693,0.603,0.271,0.802,-0.093,-0.545,-0.339,-0.744,-0.449,0.362,-0.917,0.908,0.624
1017,1017,1017,Chambers,36583,9600,LaGrange,457299,Alabama,0.379,0.17,0.082,0.007,0.006,0.006,0.916,0.372,28871.58,0.423,0.001,0.422,0.503,0.008,0.22,1.286,0,0,5.095,16.52,-23.01,0.003,0,,,0.586,0.368,0.3,0.023,0.027,0.008,-1.015,0.542,0.003,0.007,0.309,0.121,0.514,59411.162,60142.185,372.803,375.387,4.115,120.71,67.407,0.049,2.152,0.859,-0.438,-1.08,-1.308,-0.858,1.743,-0.622,-0.192,-0.038,-0.192,-0.377,-1.247,-0.84,-0.727,0,0,-0.2,-1.639,-2.341,-0.777,-1.473,,,-1.03,4.079,-0.833,-1.161,-0.341,-0.301,0.783,0.297,0.761,-0.129,1.411,1.458,-1.003,-0.943,-0.872,-1.224,-1.119,-0.843,-1.15,3.573,0.533
1019,1019,1019,Cherokee,23988,6600,Rome,418304,Alabama,0.055,0.156,0.014,0.006,0.008,0.002,0.261,0.255,28795.93,0.406,0.001,0.405,0.512,0.008,0.181,1.119,0,0,4.633,17.782,-11.426,0.017,0,,,0.55,0.358,0.366,0.025,0.023,0.011,-2.184,0.526,0.001,0.004,0.149,0.1,0.646,74722.245,74037.898,354.294,346.809,3.77,133.022,64.971,0.041,-0.27,0.873,-1.115,-0.72,-0.664,-0.688,-1.053,-0.503,-0.624,-0.565,-0.624,-0.574,-2.355,-1.618,-1.871,0,0,-0.962,1.483,-1.183,-1.258,-1.15,,,-2.466,0.676,0.445,-0.564,-1.033,-1.226,-0.786,0.019,-0.01,-0.947,-0.542,-0.88,0.767,-0.382,-0.439,-1.609,-1.464,-1.362,0.187,2.099,-0.427
